"station","lat","lon","elev","depth","t.lm","t.rf","t.rflm"
"USW00014828",43.9758,-84.4908,236.2,10,10.6281530405319,9.88210812676349,10.439383594692
"USW00014828",43.9758,-84.4908,236.2,50,10.3967542120422,9.74563143187456,10.2473344918122
"USW00014833",42.2636,-84.4564,296,0,9.44567758760504,9.67821951377144,9.59969022274877
"USW00014833",42.2636,-84.4564,296,10,11.7995600760525,11.5380031457595,11.9406677968701
"USW00014833",42.2636,-84.4564,296,50,11.5681612475628,11.2980766777341,11.7331546784605
"USW00014836",42.7761,-84.5997,261.2,0,9.22152446143899,9.48292547432106,9.59477733319797
"USW00014836",42.7761,-84.5997,261.2,10,11.5754069498865,11.3388921009176,11.8396654523981
"USW00014836",42.7761,-84.5997,261.2,50,11.3440081213967,11.0385640925772,11.6445229035124
"USW00014840",43.1711,-86.2369,190.2,0,9.51430225993571,9.67057501096041,9.84044588213348
"USW00014840",43.1711,-86.2369,190.2,10,11.8681847483832,11.7685929939534,12.2099431674311
"USW00014840",43.1711,-86.2369,190.2,50,11.6367859198934,11.4564821778622,11.9502149697884
"USW00014841",45.5644,-84.7928,215.2,0,6.99133142977525,6.42878507507406,6.35660562011942
"USW00014841",45.5644,-84.7928,215.2,10,9.34521391822273,8.87842238242093,8.90413552237042
"USW00014841",45.5644,-84.7928,215.2,50,9.11381508973298,8.80281860605751,8.6686473916154
"USW00014845",43.5281,-84.0814,201.8,0,8.86413112222375,9.23239083417357,9.38259518572177
"USW00014845",43.5281,-84.0814,201.8,10,11.2180136106712,10.8261424664244,11.6065128711716
"USW00014845",43.5281,-84.0814,201.8,50,10.9866147821815,10.6785595461493,11.3999610330379
"USW00014850",44.7389,-85.5678,185.3,0,8.03330978191203,8.37516958752882,8.53548640587723
"USW00014850",44.7389,-85.5678,185.3,10,10.3871922703595,10.2855493201351,10.7801926405321
"USW00014850",44.7389,-85.5678,185.3,50,10.1557934418698,10.1522360826651,10.5389209975763
"USW00014853",42.2367,-83.5264,215.8,0,9.89185435818872,10.6870551900079,11.0740727991714
"USW00014853",42.2367,-83.5264,215.8,10,12.2457368466362,12.0103771153347,13.2183266912889
"USW00014853",42.2367,-83.5264,215.8,50,12.0143380181465,11.8551835274472,12.9923312036548
"USW00094814",44.3592,-84.6739,350.5,0,7.19145878979796,7.04308472870435,7.12557427033387
"USW00094814",44.3592,-84.6739,350.5,10,9.54534127824544,8.98498250546973,9.41614253458264
"USW00094814",44.3592,-84.6739,350.5,50,9.31394244975569,8.55060899785262,9.23930129203883
"USW00094847",42.2311,-83.3311,192,0,10.0313106644768,10.6986038459122,10.7449469607362
"USW00094847",42.2311,-83.3311,192,10,12.3851931529243,12.0844476150814,12.9991435873098
"USW00094847",42.2311,-83.3311,192,50,12.1537943244346,11.918146891511,12.772940477321
"USW00094849",45.0717,-83.5644,208.2,0,7.34833318161388,7.06842678963933,7.0841068655788
"USW00094849",45.0717,-83.5644,208.2,10,9.70221567006136,9.27007594062563,9.56436474109895
"USW00094849",45.0717,-83.5644,208.2,50,9.47081684157161,9.25723887931682,9.32763809677306
"USW00094860",42.8939,-85.545,266.7,0,9.1855463182458,9.74151525252266,9.86749698742046
"USW00094860",42.8939,-85.545,266.7,10,11.5394288066933,11.6047980554425,12.0970050218285
"USW00094860",42.8939,-85.545,266.7,50,11.3080299782035,11.1900981359095,11.8912701641429
"aetna",43.5544,-85.9605,285,0,8.50736624728453,8.73889930359407,8.66108838148411
"aetna",43.5544,-85.9605,285,10,10.861248735732,10.8978608794142,10.8416736367735
"aetna",43.5544,-85.9605,285,50,10.6298499072423,10.6334417840045,10.5770227993651
"allegan",42.4866,-85.8122,212,0,9.9494464916275,9.80515037775798,9.85447224368288
"allegan",42.4866,-85.8122,212,10,12.303328980075,12.5845419936312,12.7827640161752
"allegan",42.4866,-85.8122,212,50,12.0719301515852,12.3154827630877,12.4609497112032
"alpine",43.0733,-85.7228,281,0,8.94736074273432,9.09016094905094,9.18460085633479
"alpine",43.0733,-85.7228,281,10,11.3012432311818,11.3031747704611,11.3713560351237
"alpine",43.0733,-85.7228,281,50,11.0698444026921,11.2206570041503,11.2455937058604
"arlene",44.3966,-85.2935,403,0,6.88248673408539,7.22866564286948,7.2690038446334
"arlene",44.3966,-85.2935,403,10,9.23636922253287,10.0165537656135,10.031556659269
"arlene",44.3966,-85.2935,403,50,9.00497039404313,9.54261692416125,9.79944167836295
"belding",43.1125,-85.3122,257,0,9.02244240211815,8.80812023594602,8.74018788960352
"belding",43.1125,-85.3122,257,10,11.3763248905656,11.0595117793059,11.1189694987951
"belding",43.1125,-85.3122,257,50,11.1449260620759,10.8302162721295,10.8996294447814
"benona",43.6304,-86.4931,256,0,8.68957601950696,8.51565850303995,8.41170678484473
"benona",43.6304,-86.4931,256,10,11.0434585079544,11.0558907000228,11.1425995966751
"benona",43.6304,-86.4931,256,50,10.8120596794647,10.9347824440497,10.950314227331
"benzonia",44.5593,-86.1172,253,0,7.81509528632501,8.16501593999961,8.13543842846345
"benzonia",44.5593,-86.1172,253,10,10.1689777747725,10.9249264054883,10.9191197757873
"benzonia",44.5593,-86.1172,253,50,9.93757894628274,10.7375599441729,10.6579877719298
"berriensprings",41.9352,-86.3797,228,0,10.4143464054745,10.0649433204614,10.1000331001575
"berriensprings",41.9352,-86.3797,228,10,12.768228893922,12.2765913099964,12.2926660207892
"berriensprings",41.9352,-86.3797,228,50,12.5368300654322,12.1865098013691,12.1209998861862
"cassopolis",41.953,-85.9902,290,0,9.94532019291761,10.0065083481253,10.0675760981883
"cassopolis",41.953,-85.9902,290,10,12.2992026813651,12.5715994462164,12.626558332528
"cassopolis",41.953,-85.9902,290,50,12.0678038528753,12.167161138323,12.3613777290272
"charlevoix",45.2547,-85.3196,240,0,7.17215808124303,7.61532512469898,7.64141179468414
