"station","lat","lon","elev","t2010.rf","t1990.rf","dt.open.rf","dt.forest.rf","t1990","t2010","dt.open","dt.forest","soilopen1990","soilopen2010","soilforest1990","soilforest2010"
"msuhort",42.6734,-84.487,264,8.89023120856637,8.53481255409056,1.67538220663202,0.98862155761045,NA,NA,1.78572424733704,1.09953496527124,10.3205368014276,10.6759554559034,9.6343475193618,9.98976617383761
"msuhtrc",42.711,-84.476,257,8.8123549172051,8.48309793563999,1.69046903662969,0.998695946776916,NA,NA,1.61370566202872,0.931528541349749,10.0968035976687,10.4260605792338,9.41462647698974,9.74388345855485
"ncmc",45.3558,-84.9371,233,7.3006995958181,6.88840659597948,2.10841399663472,1.61574856790392,NA,NA,1.84882950932091,1.81907510411126,8.73723610530039,9.14952910513901,8.70748170009074,9.11977469992935
"newera",43.5609,-86.3777,269,8.48563441008892,8.23855236184037,1.98252953095594,1.2512604437974,NA,NA,1.80862508264478,1.23544765916165,10.0471774444851,10.2942594927337,9.47400002100202,9.72108206925057
"northport",45.1359,-85.651,236,7.6125330923642,7.12036565289756,2.16764709064694,1.53715449233076,NA,NA,2.26040215226556,1.73021497938276,9.38076780516312,9.87293524462976,8.85058063228032,9.34274807174695
"nwmhrs",44.8831,-85.6777,247,7.69578326120095,7.22713605590504,2.17492997331084,1.31657570805019,NA,NA,2.00317038738304,0.935751240980407,9.23030644328808,9.69895364858398,8.16288729688545,8.63153450218136
"oldmission",44.932,-85.4996,219,7.5216327908322,7.04396167307606,2.26168669056693,1.36805280011709,NA,NA,2.65971560113074,1.47039682511713,9.7036772742068,10.1813483919629,8.51435849819319,8.99202961594932
"onekama",44.4165,-86.2131,247,7.79244078220394,7.36568310443095,2.40494949361881,1.5604689291191,NA,NA,2.98150646929287,2.12384127241258,10.3471895737238,10.7739472514968,9.48952437684353,9.91628205461652
"southhaven",42.3579,-86.2894,189,9.11328850397001,8.77082486822408,2.17714781809948,1.413992650272,NA,NA,2.44775463195375,1.72445796896857,11.2185795001778,11.5610431359238,10.4952828371926,10.8377464729386
"standale",42.9557,-85.7521,226,8.67740825180696,8.31462027240971,1.98376279887199,1.21925792670212,NA,NA,2.04476881736401,1.26910974607611,10.3593890897737,10.722177069171,9.58373001848581,9.94651799788307
"westolive",42.9715,-86.0765,194,8.76468159175782,8.40620492206009,2.08873267832797,1.36801212546408,NA,NA,2.10460362897252,1.41090867118346,10.5108085510326,10.8692852207303,9.81711359324355,10.1755902629413
"williamsburg20",44.8153,-85.4445,213,7.46690486910612,7.00598646439139,2.27822937086822,1.38511774474262,NA,NA,2.35779379259848,1.40996777909552,9.36378025698987,9.82469866170461,8.41595424348691,8.87687264820165
"wmich",42.256,-85.6395,284,9.09203949735133,8.59118109267354,1.81447840472679,1.0181997354584,NA,NA,1.9505631278407,1.125488168176,10.5417442205142,11.042602625192,9.71666926084954,10.2175276655273
