"station","lat","lon","elev","depth","forest","t.rf","t.best","t"
"USW00014822",42.4072,-83.0089,189.9,10,"open",11.322961353498,11.322961353498,NA
"USW00014822",42.4072,-83.0089,189.9,50,"forest",11.1310807144779,11.1310807144779,NA
"USW00014822",42.4072,-83.0089,189.9,50,"open",11.2762271220713,11.2762271220713,NA
"USW00014826",42.9669,-83.75,234.7,0,"open",8.43673571683541,8.40872501597152,8.40872501597152
"USW00014826",42.9669,-83.75,234.7,10,"forest",9.84647255591762,9.84647255591762,NA
"USW00014826",42.9669,-83.75,234.7,10,"open",9.98080932236076,9.98080932236076,NA
"USW00014826",42.9669,-83.75,234.7,50,"forest",9.88570733233789,9.88570733233789,NA
"USW00014826",42.9669,-83.75,234.7,50,"open",10.0250043162603,10.0250043162603,NA
"USW00014828",43.9758,-84.4908,236.2,0,"open",7.34922703087779,7.37670541637427,7.52900724929521
"USW00014828",43.9758,-84.4908,236.2,10,"forest",8.97658488628326,8.97658488628326,NA
"USW00014828",43.9758,-84.4908,236.2,10,"open",9.2931077668273,9.2931077668273,NA
"USW00014828",43.9758,-84.4908,236.2,50,"forest",9.06013954833995,9.06013954833995,NA
"USW00014828",43.9758,-84.4908,236.2,50,"open",9.39693481802705,9.39693481802705,NA
"USW00014833",42.2636,-84.4564,296,0,"open",8.87713184306659,8.91759927423686,8.90689055636896
"USW00014833",42.2636,-84.4564,296,10,"forest",10.2415091997182,10.2415091997182,NA
"USW00014833",42.2636,-84.4564,296,10,"open",10.385684571321,10.385684571321,NA
"USW00014833",42.2636,-84.4564,296,50,"forest",10.2635116557144,10.2635116557144,NA
"USW00014833",42.2636,-84.4564,296,50,"open",10.4184744105875,10.4184744105875,NA
"USW00014836",42.7761,-84.5997,261.2,0,"open",8.37108515947694,8.31995071643698,8.31995071643698
"USW00014836",42.7761,-84.5997,261.2,10,"forest",9.94004448868438,9.94004448868438,NA
"USW00014836",42.7761,-84.5997,261.2,10,"open",10.0825896185937,10.0825896185937,NA
"USW00014836",42.7761,-84.5997,261.2,50,"forest",9.95590823031992,9.95590823031992,NA
"USW00014836",42.7761,-84.5997,261.2,50,"open",10.0992513570293,10.0992513570293,NA
"USW00014840",43.1711,-86.2369,190.2,0,"open",8.56679524972665,8.48559368440267,8.48559368440267
"USW00014840",43.1711,-86.2369,190.2,10,"forest",10.3464978920221,10.3464978920221,NA
"USW00014840",43.1711,-86.2369,190.2,10,"open",10.491311195661,10.491311195661,NA
"USW00014840",43.1711,-86.2369,190.2,50,"forest",10.2973183736058,10.2973183736058,NA
"USW00014840",43.1711,-86.2369,190.2,50,"open",10.4443116592593,10.4443116592593,NA
"USW00014841",45.5644,-84.7928,215.2,0,"open",5.62666908337218,5.55215690542492,5.55488862515976
"USW00014841",45.5644,-84.7928,215.2,10,"forest",7.61616921679631,7.61616921679631,NA
"USW00014841",45.5644,-84.7928,215.2,10,"open",7.66887001682089,7.66887001682089,NA
"USW00014841",45.5644,-84.7928,215.2,50,"forest",7.70125153141027,7.70125153141027,NA
"USW00014841",45.5644,-84.7928,215.2,50,"open",7.77149898420627,7.77149898420627,NA
"USW00014845",43.5281,-84.0814,201.8,0,"open",8.27977387172567,8.21686593045542,8.21686593045542
"USW00014845",43.5281,-84.0814,201.8,10,"forest",9.45550679021391,9.45550679021391,NA
"USW00014845",43.5281,-84.0814,201.8,10,"open",9.59813084248555,9.59813084248555,NA
"USW00014845",43.5281,-84.0814,201.8,50,"forest",9.59041790285425,9.59041790285425,NA
"USW00014845",43.5281,-84.0814,201.8,50,"open",9.75206715343773,9.75206715343773,NA
"USW00014850",44.7389,-85.5678,185.3,0,"open",7.22385662226553,7.08380348034542,7.07816181170669
"USW00014850",44.7389,-85.5678,185.3,10,"forest",8.85533274328168,8.85533274328168,NA
"USW00014850",44.7389,-85.5678,185.3,10,"open",9.09458350115823,9.09458350115823,NA
"USW00014850",44.7389,-85.5678,185.3,50,"forest",8.96780496140334,8.96780496140334,NA
"USW00014850",44.7389,-85.5678,185.3,50,"open",9.22341389041279,9.22341389041279,NA
"USW00014853",42.2367,-83.5264,215.8,0,"open",9.13799267524485,9.07631192843027,8.98353356890459
"USW00014853",42.2367,-83.5264,215.8,10,"forest",10.802660769265,10.802660769265,NA
"USW00014853",42.2367,-83.5264,215.8,10,"open",10.9604426121098,10.9604426121098,NA
"USW00014853",42.2367,-83.5264,215.8,50,"forest",10.7823665464031,10.7823665464031,NA
"USW00014853",42.2367,-83.5264,215.8,50,"open",10.942691619855,10.942691619855,NA
"USW00094814",44.3592,-84.6739,350.5,0,"open",6.26941117852247,6.23406102413954,6.28405475206612
"USW00094814",44.3592,-84.6739,350.5,10,"forest",7.84909797926323,7.84909797926323,NA
"USW00094814",44.3592,-84.6739,350.5,10,"open",7.97968540400374,7.97968540400374,NA
"USW00094814",44.3592,-84.6739,350.5,50,"forest",7.81246838870321,7.81246838870321,NA
